*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=hexbotling_v0_4
*Date=18:53:06
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
269;;switch-spdt;14.6588;-56.5282;-90;Bottom;S2
270;;;23.0632;-26.0308;0;Bottom;Copper Fill21
271;;;50.8538;-23.5083;0;Bottom;Via120
272;;;23.5458;-42.1344;0;Bottom;Copper Fill77
273;;;33.1175;-15.4632;-90;Bottom;TXT1
274;;;62.6618;-3.5264;0;Bottom;Copper Fill40
275;;THT;1.9589;-5.72818;0;Bottom;buzz
276;;;38.2579;-6.8121;-90;Bottom;TXT1
277;;THT;41.9639;-3.82318;-90;Bottom;dummy3
278;;;51.48;-7.0075;0;Bottom;Via167
279;;;59.7528;-36.8486;0;Bottom;Via126
280;;;20.5693;-21.9021;-90;Bottom;TXT1
281;;;39.445;-15.2699;0;Bottom;Via131
282;;;7.9248;-32.9142;0;Bottom;Copper Fill103
283;470;THT;28.6289;-9.53818;0;Bottom;R21
284;;;20.9804;-49.6274;0;Bottom;Copper Fill60
285;;;23.0886;-50.1608;0;Bottom;Copper Fill9
286;;;3.2512;-42.5662;0;Bottom;Copper Fill81
287;;;24.1839;-16.5232;0;Bottom;Via159
288;;;49.1744;-29.3328;0;Bottom;Copper Fill112
289;;;26.5938;-16.5312;0;Bottom;Copper Fill31
290;;;7.19566;-37.9058;-90;Bottom;TXT1
291;;3 mm [THT];64.8077;-2.55333;-90;Bottom;LED1
292;;;40.6938;-41.9233;0;Bottom;Via108
293;;;41.2242;-25.7514;0;Bottom;Copper Fill122
294;;;45.9372;-16.6429;-90;Bottom;TXT1
295;1k;THT;14.6589;-7.63318;180;Bottom;R22
296;;;50.9778;-40.1024;0;Bottom;Copper Fill20
297;;;35.5665;-42.5614;0;Bottom;Via155
298;;;7.9248;-29.1042;0;Bottom;Copper Fill115
