*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=hexbotling_client_v0_4
*Date=17:52:00
*CreatedBy=Fritzing 0.9.4.2019-12-01.CD-498-0-a1ffcea
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
134;;;36.3473;-34.3011;0;Bottom;Via7
135;;THT;6.4976;-5.70317;-90;Bottom;DIO_b1
136;;;8.0772;-21.3318;0;Bottom;Copper Fill39
137;;;4.3434;-27.5043;0;Bottom;Copper Fill85
138;;;35.0774;-28.0123;0;Bottom;Copper Fill83
139;;;42.0496;-55.8611;0;Bottom;Via54
140;;;2.14389;-17.4136;-90;Bottom;TXT1
141;;;51.5112;-48.9925;0;Bottom;Copper Fill51
142;;;13.3615;-5.45882;0;Bottom;TXT1
143;;THT;6.4976;-3.16317;-90;Bottom;DIO_c1
144;;;37.3126;-51.1769;0;Bottom;Copper Fill50
145;;;14.2748;-20.5193;0;Bottom;Copper Fill35
146;;;43.3261;-52.6924;0;Bottom;Via41
147;;;6.42661;-50.1022;-90;Bottom;TXT1
148;;;51.9938;-33.9302;0;Bottom;Copper Fill71
149;;;52.451;-38.2736;0;Bottom;Copper Fill66
150;;;40.785;-43.1601;0;Bottom;Via26
151;;THT;6.4976;-8.24317;-90;Bottom;0-DIO-3
152;;;7.18325;-16.7736;-90;Bottom;TXT1
153;;;32.5374;-47.1128;0;Bottom;Copper Fill8
154;;;44.7548;-25.5231;0;Bottom;Copper Fill30
155;;;26.1915;-31.1036;0;Bottom;Via48
156;;;39.2176;-29.0788;0;Bottom;Copper Fill79
157;;;37.8714;-48.6369;0;Bottom;Copper Fill56
158;;;52.5272;-24.5322;0;Bottom;Copper Fill32
159;;;52.1863;-39.3476;-90;Bottom;TXT1
160;;;27.4525;-45.0733;0;Bottom;Via8
161;;;49.6775;-26.0233;0;Bottom;Via24
162;;;46.8884;-57.1967;0;Bottom;Copper Fill48
163;;;6.0198;-42.2869;0;Bottom;Copper Fill19
164;;THT;57.2976;-43.1682;180;Bottom;Analog_In1
165;;;3.429;-10.6384;0;Bottom;Copper Fill102
166;;;52.959;-40.7374;0;Bottom;Copper Fill64
167;;;54.9656;-34.1722;-90;Bottom;TXT1
168;;THT;2.6876;-34.9132;180;Bottom;COM2
169;;;2.8956;-36.902;0;Bottom;Copper Fill15
170;;;7.7724;-16.5312;0;Bottom;Copper Fill99
171;;;54.102;-48.4845;0;Bottom;Copper Fill55
172;;;62.1143;-25.1378;0;Bottom;TXT1
173;;;61.849;-24.8627;0;Bottom;Copper Fill75
174;;;62.6005;-55.2289;-90;Bottom;TXT1
175;;;2.6875;-29.1983;0;Bottom;Via29
176;;;28.0875;-41.2633;0;Bottom;Via9
177;;;57.2975;-24.1183;0;Bottom;Via22
178;;;14.7066;-16.9633;0;Bottom;Copper Fill40
179;;;1.5494;-37.4357;0;Bottom;Copper Fill20
180;;;10.5156;-24.7611;0;Bottom;Copper Fill93
181;;;54.7437;-29.1912;0;Bottom;Via23
182;;;13.7212;-7.88706;0;Bottom;TXT1
183;;;51.7144;-31.7204;0;Bottom;Copper Fill74
184;;;20.193;-51.1515;0;Bottom;Copper Fill53
185;;;4.8768;-9.59699;0;Bottom;Copper Fill105
186;;;35.0774;-47.1128;0;Bottom;Copper Fill9
187;;;44.0738;-50.76;-90;Bottom;TXT1
188;;SO;40.8892;-34.9132;-90;Top;3208
189;;THT;59.8376;-24.1182;180;Bottom;Cli
190;8.2k;THT;12.2126;-39.9932;0;Bottom;R3
191;;;1.5494;-34.8957;0;Bottom;Copper Fill21
192;;;13.4825;-31.1033;0;Bottom;Via44
193;;;21.1074;-23.821;0;Bottom;Copper Fill94
194;;;49.7361;-39.4804;-90;Bottom;TXT1
195;;THT;18.5626;-5.70317;180;Bottom;NP
196;;;7.9248;-29.8919;0;Bottom;Copper Fill80
197;;;27.4525;-28.5633;0;Bottom;Via2
198;;;5.2021;-29.2084;0;Bottom;Via52
199;;;62.8336;-17.497;0;Bottom;TXT1
200;;;49.3014;-39.4421;0;Bottom;Copper Fill14
201;8.2k;THT;12.2126;-43.1682;0;Bottom;R4
202;;;1.5494;-32.3557;0;Bottom;Copper Fill76
203;;;8.1026;-25.0151;0;Bottom;Copper Fill33
204;;;33.2232;-35.505;0;Bottom;Copper Fill70
205;;;14.3764;-9.29219;0;Bottom;Copper Fill104
206;;;5.2275;-36.1833;0;Bottom;Via49
207;;;36.3474;-52.4723;0;Bottom;Copper Fill3
